tag;lang;key
covid;de;covid* or corona* or ncov*
covid;en;covid* or coronav* or ncov*
covid;fr;covid* or coronav* or ncov*
covid;it;covid* or coronav* or ncov*
covid;pt;covid* or coronav* or ncov*
covid;ru;корона* or covid*
